,Name,Absolute Magnitude,Minimum Estimated Diameter,Maximum Estimated Diameter,Potentially Hazardous,Closest Approach Date,Time of Closest Approach Date,Relative Velocity,Miss Distance
0,(2019 AR9),21.7,121.49 m,271.67 m,False,2020-Aug-07,04:51 A.M.,11.93 km/s,166.9 LD
1,(2011 MF),21.9,110.8 m,247.77 m,False,2020-Aug-07,01:15 A.M.,13.25 km/s,142.1 LD
2,(2020 MO4),21.64,124.96 m,279.41 m,False,2020-Aug-07,03:59 P.M.,5.77 km/s,99.7 LD
3,9162 Kwiila (1987 OA),17.8,732.07 m,1636.97 m,False,2020-Aug-07,03:58 P.M.,22.55 km/s,70.9 LD
4,(2006 EC1),18.5,530.34 m,1185.88 m,False,2020-Aug-07,01:10 P.M.,33.28 km/s,165.7 LD
5,(2004 KG1),24.1,40.23 m,89.96 m,False,2020-Aug-07,02:48 P.M.,13.21 km/s,40.6 LD
6,(2019 OS1),22.2,96.51 m,215.79 m,False,2020-Aug-07,12:59 A.M.,14.57 km/s,118.9 LD
7,468730 (2010 MN51),18.4,555.33 m,1241.77 m,False,2020-Aug-06,10:30 P.M.,16.37 km/s,173.8 LD
8,510073 (2010 JF88),18.5,530.34 m,1185.88 m,False,2020-Aug-06,06:52 P.M.,17.25 km/s,101.4 LD
9,(2010 JF88),18.5,530.34 m,1185.88 m,False,2020-Aug-06,N/A,17.25 km/s,101.4 LD
10,(2010 MN51),18.5,530.34 m,1185.88 m,False,2020-Aug-06,N/A,16.37 km/s,173.8 LD
11,(2016 CG137),24.2,38.42 m,85.91 m,False,2020-Aug-06,12:24 A.M.,11.38 km/s,97.5 LD
12,(2018 EE4),20.5,211.13 m,472.11 m,False,2020-Aug-06,11:16 A.M.,10.95 km/s,182.2 LD
13,(2020 OA4),22.34,90.52 m,202.41 m,False,2020-Aug-05,04:52 P.M.,6.75 km/s,50.2 LD
14,(2005 OU2),19.1,402.3 m,899.58 m,False,2020-Aug-05,N/A,21.91 km/s,182.3 LD
15,(2006 CU),22.0,105.82 m,236.61 m,True,2020-Aug-05,07:45 P.M.,22.23 km/s,144.5 LD
16,(2007 CH15),21.7,121.49 m,271.67 m,False,2020-Aug-05,05:45 A.M.,14.65 km/s,41.6 LD
17,(2009 PQ1),22.5,84.05 m,187.95 m,False,2020-Aug-05,04:35 P.M.,13.47 km/s,10.7 LD
18,(2010 AB78),18.2,608.91 m,1361.57 m,False,2020-Aug-05,06:23 A.M.,23.19 km/s,106.9 LD
19,(2015 XZ378),27.2,9.65 m,21.58 m,False,2020-Aug-05,08:24 A.M.,15.04 km/s,184.4 LD
20,(2016 GK135),28.1,6.38 m,14.26 m,False,2020-Aug-05,04:42 A.M.,9.96 km/s,103.9 LD
21,(2017 KJ5),26.6,12.72 m,28.45 m,False,2020-Aug-05,03:17 P.M.,12.5 km/s,122.2 LD
22,494713 (2005 OU2),19.1,402.3 m,899.58 m,False,2020-Aug-05,07:40 A.M.,21.91 km/s,182.3 LD
23,(2017 UX44),19.7,305.18 m,682.4 m,False,2020-Aug-05,07:10 P.M.,1.26 km/s,182.2 LD
24,228502 (2001 TE2),20.3,231.5 m,517.65 m,False,2020-Aug-05,02:34 A.M.,18.05 km/s,166.1 LD
25,(2019 OV3),24.0,42.13 m,94.2 m,False,2020-Aug-05,11:59 A.M.,8.04 km/s,88.5 LD
26,(2019 PO1),27.8,7.32 m,16.37 m,False,2020-Aug-05,11:59 P.M.,11.17 km/s,123.0 LD
27,(2019 SV),24.0,42.13 m,94.2 m,False,2020-Aug-05,12:56 A.M.,10.01 km/s,174.9 LD
28,(2019 VT3),28.2,6.09 m,13.62 m,False,2020-Aug-05,06:26 A.M.,3.74 km/s,84.8 LD
29,(2020 FK5),20.7,192.91 m,431.36 m,False,2020-Aug-05,05:56 P.M.,20.25 km/s,173.8 LD
30,(2020 NF),23.79,46.34 m,103.62 m,False,2020-Aug-05,09:24 P.M.,6.66 km/s,30.6 LD
31,36284 (2000 DM8),14.9,2783.27 m,6223.58 m,False,2020-Aug-04,09:36 A.M.,30.38 km/s,133.4 LD
32,(2002 CB19),25.0,26.58 m,59.43 m,False,2020-Aug-04,12:33 A.M.,9.16 km/s,190.1 LD
33,(2017 PK25),25.3,23.15 m,51.77 m,False,2020-Aug-04,11:15 A.M.,24.83 km/s,135.3 LD
34,68347 (2001 KB67),19.9,278.33 m,622.36 m,True,2020-Aug-04,04:22 A.M.,9.5 km/s,173.9 LD
35,(2018 LM4),18.9,441.12 m,986.37 m,False,2020-Aug-04,04:49 A.M.,18.14 km/s,60.6 LD
36,(2020 MQ3),21.82,114.96 m,257.06 m,False,2020-Aug-04,02:01 A.M.,15.95 km/s,54.8 LD
37,(2019 NC1),21.4,139.49 m,311.92 m,False,2020-Aug-04,05:26 A.M.,4.21 km/s,32.5 LD
38,(2020 OM1),20.95,172.01 m,384.63 m,True,2020-Aug-04,11:33 A.M.,10.12 km/s,142.6 LD
39,(2020 OG3),26.75,11.85 m,26.5 m,False,2020-Aug-04,10:27 P.M.,5.99 km/s,7.1 LD
40,(2020 OA6),26.1,16.04 m,35.86 m,False,2020-Aug-04,08:13 P.M.,10.38 km/s,6.4 LD
41,(2010 JV153),19.6,319.56 m,714.56 m,False,2020-Aug-09,08:29 A.M.,6.09 km/s,85.3 LD
42,(2012 KT42),29.0,4.21 m,9.42 m,False,2020-Aug-09,12:10 A.M.,14.39 km/s,116.0 LD
43,(2014 NE64),18.9,441.12 m,986.37 m,False,2020-Aug-09,09:19 P.M.,20.47 km/s,177.2 LD
44,(2015 OA26),24.2,38.42 m,85.91 m,False,2020-Aug-09,04:34 A.M.,19.18 km/s,104.4 LD
45,137799 (1999 YB),18.5,530.34 m,1185.88 m,False,2020-Aug-09,11:34 P.M.,3.81 km/s,132.8 LD
46,162080 (1998 DG16),19.9,278.33 m,622.36 m,False,2020-Aug-09,02:51 A.M.,18.18 km/s,169.4 LD
47,376788 (2000 RV37),19.4,350.39 m,783.5 m,False,2020-Aug-09,12:10 A.M.,27.64 km/s,159.7 LD
48,380128 (1997 WB21),20.1,253.84 m,567.6 m,False,2020-Aug-09,08:21 P.M.,8.7 km/s,47.2 LD
49,(2002 RR25),20.9,175.61 m,392.68 m,False,2020-Aug-09,12:04 A.M.,9.09 km/s,111.0 LD
50,(2012 YK),23.0,66.77 m,149.29 m,False,2020-Aug-09,06:48 A.M.,15.15 km/s,183.5 LD
51,(2018 RO5),25.6,20.16 m,45.09 m,False,2020-Aug-09,01:22 A.M.,4.25 km/s,63.7 LD
52,(2014 OA339),24.4,35.04 m,78.35 m,False,2020-Aug-09,08:18 A.M.,11.64 km/s,27.8 LD
53,(2020 OL4),24.9,27.79 m,62.15 m,False,2020-Aug-08,07:28 P.M.,10.84 km/s,9.5 LD
54,(2019 BW3),23.5,53.03 m,118.59 m,False,2020-Aug-08,10:24 A.M.,21.36 km/s,181.9 LD
55,(2020 OB1),23.91,43.89 m,98.14 m,False,2020-Aug-08,12:00 A.M.,10.28 km/s,41.4 LD
56,(2011 EZ40),21.3,146.07 m,326.62 m,False,2020-Aug-08,09:05 P.M.,16.72 km/s,83.7 LD
57,(2020 OR),22.57,81.24 m,181.65 m,False,2020-Aug-08,09:44 A.M.,6.88 km/s,76.5 LD
58,(2016 RD20),24.8,29.14 m,65.17 m,False,2020-Aug-08,12:28 A.M.,14.5 km/s,119.2 LD
59,(2008 QB),20.8,183.89 m,411.19 m,False,2020-Aug-08,06:49 P.M.,38.52 km/s,140.2 LD
60,(2014 JM25),21.3,146.07 m,326.62 m,False,2020-Aug-08,N/A,3.32 km/s,124.2 LD
61,523707 (2014 JM25),21.3,146.07 m,326.62 m,False,2020-Aug-08,05:17 P.M.,3.32 km/s,124.2 LD
62,(2018 NJ4),21.9,110.8 m,247.77 m,False,2020-Aug-08,09:05 P.M.,20.78 km/s,189.3 LD
63,(2019 NW3),23.1,63.76 m,142.57 m,False,2020-Aug-08,09:31 P.M.,18.9 km/s,139.4 LD
64,(2020 BU16),19.27,372.18 m,832.22 m,False,2020-Aug-08,08:31 A.M.,20.25 km/s,138.9 LD
65,(2020 MM),25.15,24.81 m,55.47 m,False,2020-Aug-08,08:09 P.M.,3.37 km/s,35.4 LD
66,(2020 OR1),23.36,56.46 m,126.25 m,False,2020-Aug-03,10:48 A.M.,18.51 km/s,48.6 LD
67,512245 (2016 AU8),19.9,278.33 m,622.36 m,False,2020-Aug-03,06:23 A.M.,8.95 km/s,88.2 LD
68,(2016 AU8),19.9,278.33 m,622.36 m,False,2020-Aug-03,N/A,8.95 km/s,88.2 LD
69,(2018 BD),30.1,2.54 m,5.68 m,False,2020-Aug-03,11:36 P.M.,9.41 km/s,7.5 LD
70,(2007 PS25),25.5,21.11 m,47.21 m,False,2020-Aug-03,08:42 P.M.,16.57 km/s,98.3 LD
71,(2016 EL27),26.1,16.02 m,35.81 m,False,2020-Aug-03,08:30 A.M.,13.38 km/s,141.5 LD
72,(2009 PY),21.1,160.16 m,358.13 m,False,2020-Aug-03,05:49 P.M.,15.65 km/s,91.5 LD
73,(2019 PB2),23.3,58.15 m,130.03 m,False,2020-Aug-03,07:59 P.M.,22.07 km/s,159.0 LD
74,(2019 TZ),26.6,12.72 m,28.45 m,False,2020-Aug-03,03:31 P.M.,10.04 km/s,183.7 LD
75,(2020 KE5),22.04,103.98 m,232.51 m,False,2020-Aug-03,04:46 A.M.,10.93 km/s,49.4 LD
76,(2020 HP8),20.35,226.55 m,506.57 m,False,2020-Aug-03,05:18 P.M.,10.36 km/s,47.8 LD
77,(2020 OL5),21.65,124.21 m,277.74 m,False,2020-Aug-03,04:22 A.M.,3.86 km/s,132.0 LD
78,(2020 OK3),22.03,104.41 m,233.47 m,False,2020-Aug-02,11:20 A.M.,19.59 km/s,59.3 LD
79,(2020 OJ2),20.12,251.05 m,561.36 m,False,2020-Aug-02,10:45 A.M.,20.25 km/s,114.5 LD
80,(2020 OL),23.1,63.64 m,142.31 m,False,2020-Aug-02,05:43 P.M.,4.22 km/s,97.7 LD
81,(2016 FV13),25.8,18.39 m,41.12 m,False,2020-Aug-02,08:50 A.M.,11.13 km/s,33.8 LD
82,337345 (2001 KO20),20.6,201.63 m,450.86 m,False,2020-Aug-02,11:16 A.M.,6.62 km/s,169.8 LD
83,368565 (2004 FE5),19.9,278.33 m,622.36 m,True,2020-Aug-02,05:47 A.M.,31.04 km/s,168.1 LD
84,(2003 YL118),21.6,127.22 m,284.47 m,True,2020-Aug-02,03:09 P.M.,16.12 km/s,156.2 LD
85,(2008 PR9),22.3,92.16 m,206.08 m,False,2020-Aug-02,07:08 A.M.,28.72 km/s,173.4 LD
86,(2015 FM33),24.6,31.96 m,71.46 m,False,2020-Aug-02,07:11 A.M.,8.5 km/s,49.3 LD
87,(2018 YH),21.8,116.03 m,259.44 m,True,2020-Aug-02,08:28 A.M.,17.86 km/s,126.1 LD
88,(2020 BW12),26.24,15.02 m,33.58 m,False,2020-Aug-02,12:26 A.M.,9.92 km/s,39.1 LD
89,(2020 MC4),21.47,135.07 m,302.02 m,False,2020-Aug-02,03:47 P.M.,5.6 km/s,58.8 LD
90,(2020 NJ1),22.65,78.59 m,175.73 m,False,2020-Aug-02,10:37 P.M.,6.98 km/s,71.2 LD
